Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Nepal,Consumer Price Index CPI,2020-09-30T00:00:00,137.62,Monthly,NEPALCPIC,2020-10-23T08:54:00
Nepal,Consumer Price Index CPI,2020-10-31T00:00:00,137.58,Monthly,NEPALCPIC,2020-11-28T10:24:00
Nepal,Consumer Price Index CPI,2020-11-30T00:00:00,138.19,Monthly,NEPALCPIC,2020-12-26T10:18:00
Nepal,Consumer Price Index CPI,2020-12-31T00:00:00,136.39,Monthly,NEPALCPIC,2021-01-16T10:27:00
Nepal,Consumer Price Index CPI,2021-01-31T00:00:00,137.1,Monthly,NEPALCPIC,2021-02-13T10:17:00
Nepal,Consumer Price Index CPI,2021-02-28T00:00:00,136.34,Monthly,NEPALCPIC,2021-03-20T10:18:00
Nepal,Consumer Price Index CPI,2021-03-31T00:00:00,136.4,Monthly,NEPALCPIC,2021-04-17T10:18:00
Nepal,Consumer Price Index CPI,2021-04-30T00:00:00,137.35,Monthly,NEPALCPIC,2021-05-15T10:22:00
Nepal,Consumer Price Index CPI,2021-05-31T00:00:00,138.54,Monthly,NEPALCPIC,2021-06-19T10:23:00
Nepal,Consumer Price Index CPI,2021-06-30T00:00:00,139.14,Monthly,NEPALCPIC,2021-07-17T10:23:00
Nepal,Consumer Price Index CPI,2021-07-31T00:00:00,140.33,Monthly,NEPALCPIC,2021-08-28T10:15:00
Nepal,Consumer Price Index CPI,2021-08-31T00:00:00,142.42,Monthly,NEPALCPIC,2021-09-25T10:15:00
Nepal,Consumer Price Index CPI,2021-09-30T00:00:00,142.42,Monthly,NEPALCPIC,2021-10-30T10:16:00
Nepal,Consumer Price Index CPI,2021-10-31T00:00:00,143.42,Monthly,NEPALCPIC,2021-11-20T10:14:00
Nepal,Consumer Price Index CPI,2021-11-30T00:00:00,145.54,Monthly,NEPALCPIC,2021-12-18T10:16:00
Nepal,Consumer Price Index CPI,2021-12-31T00:00:00,146.09,Monthly,NEPALCPIC,2022-01-15T10:15:00
Nepal,Consumer Price Index CPI,2022-01-31T00:00:00,144.84,Monthly,NEPALCPIC,2022-02-19T10:22:00
Nepal,Consumer Price Index CPI,2022-02-28T00:00:00,144.48,Monthly,NEPALCPIC,2022-03-19T10:15:00
Nepal,Consumer Price Index CPI,2022-03-31T00:00:00,146.15,Monthly,NEPALCPIC,2022-04-16T10:14:00
